,Soil volumetric water content:,Soil el. conductivity:,Soil Oxygen:,PAR:,Shortwave irradiance:,Mean solar irradiance:,Precipitation since last meas.:,Lightnings since last measurement:,Gust wind speed:,Wind direction (rel. to N):,Average air temp.:,Vapour pressure:,Atmospheric pressure:,Vapour pressure deficit:,Rel. air humidity:,Station X axis orientation:,Leaf humidity:,Soil pH:,Soil humidity NPK:,Soil temp. NPK:,Soil el. conductivity NPK:,Soil Potassium:,Location(lat long alt):,Soil temp. 10cm:,Soil temp 50cm:,Soil temp 80cm:,Surface temp. object:,Air temp.:,Air humidity:,CO2 in air:,Light intensity:,Soil humidity1:,Soil humidity2:,Raindrops2:,Raindrops3:,Spectr. Violet:,Spectr. Blue:,Spectr. Green:,Spectr. Orange:,Spectr. Red:
0,0.087,8.778,22.878,2095.765,790.0488333,850.0,0.0,0.0,4.5725,10.6,28.55,1.595,101.144,2.3026,40.82925,-0.54,0.811,6.44,0.0,24.33333333,17.90025,29.77766667,44.176,23.188,23.813,23.188,28.95,30.371,38.982,0.0,0.0,0.0,47.0,0.0,0.0,65535.0,65535.0,65535.0,65535.0,48526.0
1,0.087,9.0555,22.71775,1194.113,730.8921667,729.5,0.0,0.0,4.966,250.725,28.9,1.61,101.134,2.3685,40.313,-0.633333333,0.946,6.453333333,0.372166667,27.225,18.9136,31.16675,44.176,23.25,23.79725,23.1502,28.72,31.201,35.9515,0.0,0.0,0.0,46.8,0.0,0.0,65535.0,61667.0,65535.0,65535.0,45401.83333
2,0.087,9.222,22.4072,613.8776667,575.9954,729.8333333,0.0,0.0,4.283333333,308.5,29.725,1.59,101.09,2.60125,37.88975,-0.55,0.946,6.4906,6.255666667,31.275,20.03333333,33.16666667,44.176,23.3502,23.76575,23.125,29.706,31.42566667,35.8684,0.0,0.0,0.0,47.0,0.0,0.0,65535.0,62915.33333,65535.0,65535.0,45477.66667
3,0.087,9.1665,22.035,1177.92,482.58525,524.5,0.0,0.0,4.7275,326.1,29.95,1.548,101.07,2.738,36.2225,-0.666666667,1.027,6.51325,3.7534,32.7,20.511,33.7334,44.176,23.50033333,23.7376,23.0878,34.87666667,33.5768,29.55466667,0.0,9055.666667,0.0,47.0,0.0,0.0,65535.0,64537.25,65535.0,65535.0,52348.0
4,0.08675,9.222,21.92316667,972.481,108.8793333,386.75,0.0,0.0,3.865,269.2,30.36666667,1.5475,101.055,2.774,35.0055,-0.6,0.991,6.51,0.0,29.225,19.21133333,31.61116667,44.176,23.7128,23.688,23.063,35.26333333,33.9396,29.43933333,0.0,9870.75,0.0,47.16666667,0.0,0.0,65535.0,65535.0,65535.0,65535.0,61581.5
5,0.087,9.6665,22.03166667,433.01075,69.808,108.25,0.0,0.0,3.2425,81.93333333,28.23333333,1.8525,101.0666667,2.0506,47.48225,-0.5,1.135,6.576666667,0.0,27.04,17.5835,29.2666,44.176,23.9378,23.6754,23.0785,31.67,33.13066667,38.068,0.0,7850.0,0.0,47.0,0.0,0.0,65535.0,65535.0,65535.0,65535.0,65535.0
6,0.087,9.722166667,22.16666667,110.8994,71.82125,42.0,0.0,0.0,2.2175,122.75,27.2,1.8525,101.08,1.72225,51.3762,-0.466666667,1.243,6.635,0.0,25.53333333,17.0835,27.8668,44.176,24.2378,23.6502,23.125,27.76333333,29.5346,47.07433333,0.0,5408.5,0.0,47.25,0.0,0.0,65535.0,61029.66667,65535.0,65535.0,44967.4
8,0.087,9.333,22.6445,0.131666667,0.000666667,0.0,0.0,0.0,0.5425,338.925,23.0,1.841666667,101.2,1.111666667,62.59325,-0.566666667,1.5678,6.4575,0.0,21.76666667,15.4665,25.1665,44.176,24.6002,23.625,23.20866667,23.73,24.655,60.4588,0.0,40.0,0.0,50.0,0.0,0.0,65535.0,58289.4,65535.0,65535.0,43918.66667
9,0.087,9.58325,22.7425,0.051666667,0.0,0.0,0.0,0.0,0.626,296.2,22.04,1.838,101.22,0.801,69.149,-0.55,1.622,6.455,0.0,20.7,14.7934,24.8335,44.176,24.719,23.625,23.2605,21.35,21.947,72.32683333,0.0,40.0,0.0,47.75,0.5,0.0,65535.0,59020.25,65535.0,65535.0,44725.5
10,0.087,9.5,22.874,0.020666667,0.0,0.0,0.0,0.0,1.0075,269.8,21.1,1.786,101.2325,0.7115,71.2506,-0.6,1.676,6.435,0.0,19.75,14.26675,23.2,44.176,24.771,23.688,23.3378,19.63,21.10933333,79.44175,0.0,40.0,0.666666667,49.33333333,2.0,0.0,65535.0,59262.5,65535.0,65535.0,44803.0
14,0.087,9.0,23.142,0.009,0.0,0.0,0.0,0.0,0.953333333,291.6,18.6,1.685,101.225,0.454666667,78.51916667,-0.54,3.108,6.4125,0.0,16.6,12.8734,21.0,44.176,24.594,23.75,23.563,17.738,18.11916667,85.92366667,0.0,40.0,0.0,48.0,2.0,0.0,65535.0,59889.0,65535.0,65535.0,44534.5
15,0.087,8.833333333,23.211,0.005833333,0.0,0.0,0.0,0.0,0.802,292.7,18.2,1.6825,101.2266667,0.408333333,80.2472,-0.5,5.495333333,6.406666667,0.0,16.1,12.56666667,20.75,44.176,24.4752,23.771,23.563,16.83,17.3575,89.22966667,0.0,40.0,0.0,48.25,3.333333333,0.0,65535.0,59777.25,65535.0,65535.0,44296.66667
16,0.087,8.777833333,23.23766667,1.52325,0.569333333,0.0,0.0,0.0,1.398,272.75,18.52,1.665,101.224,0.46325,77.9975,-0.54,5.946,6.408,0.0,15.7,12.35025,20.0666,44.176,24.35433333,23.7815,23.563,16.155,16.564,92.1615,0.0,28.2,0.0,48.0,5.333333333,0.0,65535.0,59627.5,65535.0,65535.0,44038.25
17,0.087,9.0,23.2745,99.168,16.49725,32.0,0.0,0.0,1.51,276.25,18.525,1.7,101.21,0.408,79.80833333,-0.525,3.6758,6.405666667,0.0,15.45,12.2415,19.91675,44.176,24.219,23.813,23.5785,16.82,16.94433333,89.26425,0.0,50.0,0.0,48.0,2.0,0.0,65535.0,59632.5,65535.0,65535.0,43957.0
18,0.087,8.8668,23.319,231.128,221.0,152.0,0.0,0.0,2.71,281.72,20.34,1.825,101.206,0.52625,77.313,-0.566666667,1.5136,6.3954,0.0,16.9,12.66666667,20.2666,44.176,24.094,23.813,23.563,17.21666667,18.01766667,88.23875,0.0,86.25,0.0,48.25,2.0,0.0,65535.0,59771.0,65535.0,65535.0,43708.0
20,0.087,8.6666,23.247,797.1446667,528.86875,567.5,0.0,0.0,3.606,309.18,25.1,2.0125,101.19,1.138,62.4472,-0.6,1.081,6.418,0.0,23.76,15.075,24.77766667,44.176,23.8252,23.813,23.5315,24.12333333,24.294,67.918,0.0,0.0,0.0,47.0,0.0,0.0,65535.0,62010.5,65535.0,65535.0,47161.0
21,0.087,8.666666667,23.11266667,1696.62,715.9406667,721.4,0.0,0.0,4.936,331.4,26.8,2.055,101.17,1.474,58.49483333,-0.5,0.811,6.43575,0.02,25.5,16.03325,26.1334,44.176,23.72933333,23.813,23.4876,26.098,26.92333333,57.5916,0.0,0.0,0.0,47.66666667,0.0,0.0,65535.0,59936.75,65535.0,65535.0,47782.33333
