Soil Potassium:;Soil el. conductivity NPK:;Soil temp. NPK:
0.01187544;0.232470779;0.302736099
0.012429412;0.245631169;0.341019417
0.013226986;0.26017316;0.394638129
0.013453001;0.266376623;0.413503972
0.012606647;0.249497835;0.367497793
0.011671625;0.228357143;0.338570168
0.01111338;0.221863636;0.318623124
0.010036491;0.200863636;0.268755516
0.009903689;0.192122078;0.254633716
0.009252243;0.185282468;0.242056487
0.008374875;0.167187013;0.200353045
0.008275174;0.163203463;0.193733451
0.008002632;0.160392857;0.188437776
0.007942871;0.158980519;0.185127979
0.008082393;0.164502165;0.204324801
0.009881422;0.195779221;0.295145631
0.010422094;0.208224026;0.318181818
0.010767697;0.214935065;0.338481906
0.010528495;0.210717532;0.352603707
0.010794257;0.214392857;0.357899382
0.010546095;0.211168831;0.357568402
0.010102891;0.2004329;0.347087379
0.009305417;0.187012987;0.312224184
0.009172483;0.180948052;0.295454545
0.008773679;0.174675325;0.275551633
0.008042473;0.161146104;0.25
0.007922871;0.156603896;0.238084731
0.007577268;0.153161039;0.228817299
0.007577268;0.149785714;0.221204766
0.007355799;0.147761905;0.215975287
0.007178465;0.142926407;0.202338923
0.007178465;0.140779221;0.19929391
0.007444334;0.147329004;0.223080318
0.00777667;0.156995671;0.278022948
0.008614158;0.172185065;0.317188879
0.008862346;0.178212121;0.316857899
0.009704221;0.190474026;0.377978817
0.009471585;0.187012987;0.356906443
0.00997009;0.195996753;0.424889673
0.008408076;0.16763961;0.360017652
0.008009372;0.158878788;0.344329214
0.007577268;0.15021645;0.320498676
0.006779661;0.134633117;0.266548985
0.00662006;0.132142857;0.259267432
0.006061815;0.122800866;0.231465137
0.005982054;0.122081169;0.223852604
0.005982054;0.12;0.217563989
0.005982054;0.119587662;0.213062665
0.006048521;0.122510823;0.234774934
0.006447258;0.132902597;0.293027361
0.007178465;0.142211039;0.317652251
0.007470947;0.148397403;0.34223301
0.007444267;0.149133117;0.341218005
0.007211665;0.145344156;0.337378641
0.007444267;0.14924026;0.372462489
0.007231665;0.143941558;0.330626655
0.006480558;0.129655844;0.305383936
0.006380857;0.127701299;0.293292145
0.006081755;0.123373377;0.279346867
0.005928853;0.118177489;0.26092233
0.00558325;0.111688312;0.23940865
0.005184447;0.107444156;0.224183583
0.005184447;0.106640693;0.221270962
0.005184447;0.105087662;0.216504854
0.005184447;0.103969697;0.213150927
0.005184447;0.103030303;0.209289497
0.005184447;0.103606061;0.208296558
